,rep,n,latent_dim,embed_dim,timesteps,control_horizons,loss,total_cost,id
3,20,30,40,40,50,0,9.121460042921561e+27,0,"LR (40, True)"
4,20,40,40,40,50,0,5.085652202839507e+107,0,"LR (40, True)"
5,20,50,40,40,50,0,2859548212108.078,0,"LR (40, True)"
6,20,60,40,40,50,0,765313136720.5457,0,"LR (40, True)"
7,20,70,40,40,50,0,1.3934043536467864e+16,0,"LR (40, True)"
8,20,80,40,40,50,0,3.221607157437923e+17,0,"LR (40, True)"
9,20,90,40,40,50,0,151754968582.82822,0,"LR (40, True)"
10,20,100,40,40,50,0,128867908352.24265,0,"LR (40, True)"
0,21,5,40,40,50,0,2.664666698109202e+19,0,"LR (40, True)"
1,21,10,40,40,50,0,21298726287.179394,0,"LR (40, True)"
2,21,20,40,40,50,0,1906445645299432.5,0,"LR (40, True)"
3,21,30,40,40,50,0,78985306893.85094,0,"LR (40, True)"
4,21,40,40,40,50,0,2.6688498757222345e+149,0,"LR (40, True)"
5,21,50,40,40,50,0,86312.9276015825,0,"LR (40, True)"
6,21,60,40,40,50,0,1.986541155226933e+41,0,"LR (40, True)"
7,21,70,40,40,50,0,4043222867416491.0,0,"LR (40, True)"
8,21,80,40,40,50,0,693596.0448064944,0,"LR (40, True)"
9,21,90,40,40,50,0,105870196924.77148,0,"LR (40, True)"
10,21,100,40,40,50,0,2.911115158089393e+20,0,"LR (40, True)"
0,22,5,40,40,50,0,5.953057777830134e+82,0,"LR (40, True)"
1,22,10,40,40,50,0,61815033.17979429,0,"LR (40, True)"
2,22,20,40,40,50,0,1222958277162672.0,0,"LR (40, True)"
3,22,30,40,40,50,0,1.1636283435072832e+16,0,"LR (40, True)"
4,22,40,40,40,50,0,4.128951556096136e+31,0,"LR (40, True)"
5,22,50,40,40,50,0,26091479525.36425,0,"LR (40, True)"
6,22,60,40,40,50,0,9116840385.263182,0,"LR (40, True)"
7,22,70,40,40,50,0,8.191234176888333e+27,0,"LR (40, True)"
8,22,80,40,40,50,0,3.1367265859009522e+29,0,"LR (40, True)"
9,22,90,40,40,50,0,5.671812797472441e+42,0,"LR (40, True)"
10,22,100,40,40,50,0,5.74963877199782e+64,0,"LR (40, True)"
0,23,5,40,40,50,0,31953899465428.74,0,"LR (40, True)"
1,23,10,40,40,50,0,3.690452228241592e+26,0,"LR (40, True)"
